player_id,first_name,last_name,birthdate,school,country,height,weight,season_experience,jersey_number,roster_status,start_year,end_year,draft_year
111,LaPhonso,Ellis,1970-05-05,Notre Dame,USA,6-8,240,12,3,Inactive,1992,2002,1992
120,Steven,Smith,1969-03-31,Michigan State,USA,6-8,221,15,8,Inactive,1991,2004,1991
124,Vlade,Divac,1968-02-03,Partizan,Serbia,7-1,260,17,21,Inactive,1989,2004,1989
128,David,Benoit,1968-05-09,Alabama,USA,6-8,220,7,21,Inactive,1991,2000,0
133,David,Wesley,1970-11-14,Baylor,USA,6-1,203,15,4,Inactive,1993,2006,0
136,P.J.,Brown,1969-10-14,Louisiana Tech,USA,6-11,239,16,93,Inactive,1993,2007,1992
137,Vernon,Maxwell,1965-09-12,Florida,USA,6-4,190,13,3,Inactive,1988,2000,1988
146,Jud,Buechler,1968-06-19,Arizona,USA,6-6,228,12,30,Inactive,1990,2001,1990
147,Jalen,Rose,1973-01-30,Michigan,USA,6-8,215,14,8,Inactive,1994,2006,1994
165,Hakeem,Olajuwon,1963-01-21,Houston,Nigeria,7-0,255,19,34,Inactive,1984,2002,1984
166,Ron,Harper,1964-01-20,Miami (Ohio),USA,6-6,215,15,4,Inactive,1986,2000,1986
168,Chris,Mills,1970-01-25,Arizona,USA,6-7,220,11,34,Inactive,1993,2002,1993
176,Antonio,Harvey,1970-07-06,Pfeiffer,USA,6-11,250,8,4,Inactive,1993,2002,0
179,Bryant,Stith,1970-12-10,Virginia,USA,6-5,210,11,23,Inactive,1992,2002,1992
182,Billy,Owens,1969-05-01,Syracuse,USA,6-9,225,11,2,Inactive,1991,2002,1991
193,Anthony,Mason,1966-12-14,Tennessee State,USA,6-8,255,14,17,Inactive,1989,2002,1988
197,Scott,Burrell,1971-01-12,Connecticut,USA,6-7,218,8,2,Inactive,1993,2000,1993
198,Danny,Ferry,1966-10-17,Duke,USA,6-10,235,14,35,Inactive,1990,2002,1989
209,Dell,Curry,1964-06-25,Virginia Tech,USA,6-5,205,16,30,Inactive,1986,2001,1986
210,Terrell,Brandon,1970-05-20,Oregon,USA,5-11,173,12,7,Inactive,1991,2002,1991
216,Brian,Shaw,1966-03-22,California-Santa Barbara,USA,6-6,200,15,20,Inactive,1988,2002,1988
221,Clar.,Weatherspoon,1970-09-08,Southern Mississippi,USA,6-7,270,14,30,Inactive,1992,2004,1992
224,Eddie,Jones,1971-10-20,Temple,USA,6-6,200,15,6,Inactive,1994,2007,1994
228,Adam,Keefe,1970-02-22,Stanford,USA,6-9,230,9,32,Inactive,1992,2000,1992
236,Kevin,Edwards,1965-10-30,DePaul,USA,6-3,210,11,21,Inactive,1988,2000,1988
243,Aaron,McKie,1972-10-02,Temple,USA,6-5,209,14,2,Inactive,1994,2006,1994
248,George,Lynch,1970-09-03,North Carolina,USA,6-8,235,13,9,Inactive,1993,2004,1993
251,Sean,Elliott,1968-02-02,Arizona,USA,6-8,220,12,32,Inactive,1989,2000,1989
252,Karl,Malone,1963-07-24,Louisiana Tech,USA,6-9,259,20,32,Inactive,1985,2003,1985
255,Grant,Hill,1972-10-05,Duke,USA,6-8,225,18,33,Inactive,1994,2012,1994
258,Brian,Grant,1972-03-05,Xavier,USA,6-9,254,13,55,Inactive,1994,2005,1994
271,Johnny,Newman,1963-11-28,Richmond,USA,6-7,210,16,2,Inactive,1986,2001,1986
278,Stacey,Augmon,1968-08-01,UNLV,USA,6-8,213,16,2,Inactive,1991,2005,1991
280,Felton,Spencer,1968-01-05,Louisville,USA,7-0,290,12,50,Inactive,1990,2001,1990
296,Rick,Fox,1969-07-24,North Carolina,Canada,6-7,235,14,17,Inactive,1991,2003,1991
297,Alonzo,Mourning,1970-02-08,Georgetown,USA,6-10,261,16,33,Inactive,1992,2007,1992
299,Glenn,Robinson,1973-01-10,Purdue,USA,6-7,240,12,3,Inactive,1994,2004,1994
304,John,Stockton,1962-03-26,Gonzaga,USA,6-1,175,19,12,Inactive,1984,2002,1984
317,John,Starks,1965-08-10,Oklahoma State,USA,6-5,190,13,9,Inactive,1988,2001,0
323,Greg,Foster,1968-10-03,Texas-El Paso,USA,6-11,250,13,43,Inactive,1990,2002,1990
324,Anthony,Peeler,1969-11-25,Missouri,USA,6-4,208,14,8,Inactive,1992,2004,1992
339,Tom,Gugliotta,1969-12-19,North Carolina State,USA,6-10,250,14,7,Inactive,1992,2004,1992
345,Terry,Porter,1963-04-08,Wisconsin-Stevens Point,USA,6-3,205,17,30,Inactive,1985,2001,1985
348,Mitchell,Butler,1970-12-15,UCLA,USA,6-5,210,9,32,Inactive,1993,2003,0
349,Mark,Jackson,1965-04-01,St. John's (NY),USA,6-3,195,18,31,Inactive,1987,2003,1987
353,Darrell,Armstrong,1968-06-22,Fayetteville State,USA,6-1,180,15,10,Inactive,1994,2007,0
361,Clifford,Robinson,1966-12-16,Connecticut,USA,6-10,245,18,30,Inactive,1989,2006,1989
363,Christian,Laettner,1969-08-17,Duke,USA,6-11,245,14,44,Inactive,1992,2004,1992
365,Derrick,McKey,1966-10-10,Alabama,USA,6-10,241,15,9,Inactive,1987,2001,1987
376,Eric,Montross,1971-09-23,North Carolina,USA,7-0,270,9,0,Inactive,1994,2002,1994
384,Calbert,Cheaney,1971-07-17,Indiana,USA,6-7,210,13,40,Inactive,1993,2005,1993
389,Toni,Kukoc,1968-09-18,Benetton Treviso,Croatia,6-11,235,13,7,Inactive,1993,2005,1990
400,Derek,Strong,1968-02-09,Xavier,USA,6-9,240,10,30,Inactive,1991,2000,1990
406,Shaquille,O'Neal,1972-03-06,Louisiana State,USA,7-1,325,19,34,Inactive,1992,2010,1992
417,Sam,Mitchell,1963-09-02,Mercer,USA,6-7,215,13,42,Inactive,1989,2001,1985
422,Avery,Johnson,1965-03-25,Southern,USA,5-11,185,17,6,Inactive,1988,2003,0
426,Terry,Davis,1967-06-17,Virginia Union,USA,6-10,270,10,54,Inactive,1989,2000,0
431,Shawn,Kemp,1969-11-26,Concord HS (IN),USA,6-10,280,15,40,Inactive,1989,2002,1989
436,Juwan,Howard,1973-02-07,Michigan,USA,6-9,250,20,5,Inactive,1994,2012,1994
440,Zan,Tabak,1970-06-15,Olimpia Milano,Croatia,7-0,257,6,55,Inactive,1994,2000,1991
441,Lamond,Murray,1973-04-20,California,USA,6-7,235,11,31,Inactive,1994,2005,1994
445,Wesley,Person,1971-03-28,Auburn,USA,6-6,200,12,10,Inactive,1994,2004,1994
452,Vin,Baker,1971-11-23,Hartford,USA,6-11,240,13,34,Inactive,1993,2005,1993
458,Howard,Eisley,1972-12-04,Boston College,USA,6-2,185,12,10,Inactive,1994,2005,1994
461,Popeye,Jones,1970-06-17,Murray State,USA,6-8,265,12,54,Inactive,1993,2003,1992
467,Jason,Kidd,1973-03-23,California,USA,6-4,210,19,5,Inactive,1994,2012,1994
469,Jamal,Mashburn,1972-11-29,Kentucky,USA,6-8,247,12,24,Inactive,1993,2003,1993
672,Matt,Bullard,1967-06-05,Iowa,USA,6-10,229,12,50,Inactive,1990,2002,0
673,Alan,Henderson,1972-12-02,Indiana,USA,6-9,240,13,44,Inactive,1995,2006,1995
676,Thomas,Hamilton,1975-04-03,Pittsburgh,USA,7-2,330,3,55,Inactive,1995,2002,0
679,Jason,Caffey,1973-06-12,Alabama,USA,6-8,256,9,35,Inactive,1995,2002,1995
680,John,Amaechi,1970-11-26,Penn State,United Kingdom,6-10,270,6,13,Inactive,1995,2002,0
681,Donny,Marshall,1972-07-17,Connecticut,USA,6-7,230,6,13,Inactive,1995,2002,1995
682,Bob,Sura,1973-03-25,Florida State,USA,6-5,200,11,3,Inactive,1995,2006,1995
686,Antonio,McDyess,1974-09-07,Alabama,USA,6-9,245,16,34,Inactive,1995,2010,1995
689,Theo,Ratliff,1973-04-17,Wyoming,USA,6-10,235,17,50,Inactive,1995,2010,1995
690,Don,Reid,1973-12-30,Georgetown,USA,6-8,250,9,52,Inactive,1995,2002,1995
693,Joe,Smith,1975-07-26,Maryland,USA,6-10,225,17,1,Inactive,1995,2010,1995
696,Travis,Best,1972-07-12,Georgia Tech,USA,5-11,182,11,6,Inactive,1995,2004,1995
699,Brent,Barry,1971-12-31,Oregon State,USA,6-7,210,15,17,Inactive,1995,2008,1995
708,Kevin,Garnett,1976-05-19,Farragut Academy HS (IL),USA,6-11,240,22,21,Inactive,1995,2015,1995
711,Jerry,Stackhouse,1974-11-05,North Carolina,USA,6-6,218,19,42,Inactive,1995,2012,1995
712,Mario,Bennett,1973-08-01,Arizona State,USA,6-9,235,5,24,Inactive,1995,2002,1995
714,Michael,Finley,1973-03-06,Wisconsin,USA,6-7,225,16,40,Inactive,1995,2009,1995
717,Arvydas,Sabonis,1964-12-19,Real Madrid,Lithuania,7-3,292,8,11,Inactive,1995,2002,1986
718,Gary,Trent,1974-09-22,Ohio,USA,6-8,250,10,20,Inactive,1995,2003,1995
721,Tyus,Edney,1973-02-14,UCLA,USA,5-10,166,4,2,Inactive,1995,2000,1995
722,Corliss,Williamson,1973-12-04,Arkansas,USA,6-7,245,13,34,Inactive,1995,2006,1995
724,Cory,Alexander,1973-06-22,Virginia,USA,6-1,190,8,12,Inactive,1995,2004,1995
727,Eric,Snow,1973-04-24,Michigan State,USA,6-3,205,14,20,Inactive,1995,2007,1995
735,Bryant,Reeves,1973-06-08,Oklahoma State,USA,7-0,290,6,50,Inactive,1995,2000,1995
753,Randy,Brown,1968-05-22,New Mexico State,USA,6-2,190,13,0,Inactive,1991,2002,1991
754,Jim,Jackson,1970-10-14,Ohio State,USA,6-6,220,14,24,Inactive,1992,2005,1992
762,Shawn,Bradley,1972-03-22,Brigham Young,USA,7-6,275,13,44,Inactive,1993,2004,1993
763,Tony,Massenburg,1967-07-31,Maryland,USA,6-9,250,14,34,Inactive,1990,2004,1990
764,David,Robinson,1965-08-06,Navy,USA,7-1,250,14,50,Inactive,1989,2002,1987
765,Hersey,Hawkins,1966-09-29,Bradley,USA,6-3,200,13,33,Inactive,1988,2000,1988
766,David,Wingate,1963-12-15,Georgetown,USA,6-5,187,15,25,Inactive,1986,2000,1986
782,Mitch,Richmond,1965-06-30,Kansas State,USA,6-5,220,14,2,Inactive,1988,2001,1988
788,Kevin,Willis,1962-09-06,Michigan State,USA,7-0,245,22,45,Inactive,1984,2006,1984
891,Charles,Oakley,1963-12-18,Virginia Union,USA,6-9,245,19,33,Inactive,1985,2003,1985
893,Michael,Jordan,1963-02-17,North Carolina,USA,6-6,216,15,23,Inactive,1984,2002,1984
901,Otis,Thorpe,1962-08-05,Providence,USA,6-10,248,17,52,Inactive,1984,2000,1984
902,Bimbo,Coles,1968-04-22,Virginia Tech,USA,6-2,182,15,12,Inactive,1990,2003,1990
905,Dale,Davis,1969-03-25,Clemson,USA,6-11,252,17,34,Inactive,1991,2006,1991
913,Larry,Johnson,1969-03-14,UNLV,USA,6-7,235,10,2,Inactive,1991,2000,1991
916,Corie,Blount,1969-01-04,Cincinnati,USA,6-10,242,12,44,Inactive,1993,2003,1993
919,Loy,Vaught,1968-02-27,Michigan,USA,6-9,240,11,35,Inactive,1990,2000,1990
920,A.C.,Green,1963-10-04,Oregon State,USA,6-9,225,16,45,Inactive,1985,2000,1985
922,Elden,Campbell,1968-07-23,Clemson,USA,7-0,279,16,41,Inactive,1990,2004,1990
923,Donyell,Marshall,1973-05-18,Connecticut,USA,6-9,245,16,8,Inactive,1994,2008,1994
932,Oliver,Miller,1970-04-06,Arkansas,USA,6-9,315,10,3,Inactive,1992,2003,1992
937,Scottie,Pippen,1965-09-25,Central Arkansas,USA,6-8,228,18,33,Inactive,1987,2003,1987
947,Allen,Iverson,1975-06-07,Georgetown,USA,6-0,165,15,3,Inactive,1996,2009,1996
948,Marcus,Camby,1974-03-22,Massachusetts,USA,6-11,240,18,23,Inactive,1996,2012,1996
949,Shareef,Abdur-Rahim,1976-12-11,California,USA,6-9,245,13,3,Inactive,1996,2007,1996
950,Stephon,Marbury,1977-02-20,Georgia Tech,USA,6-2,205,14,8,Inactive,1996,2008,1996
952,Antoine,Walker,1976-08-12,Kentucky,USA,6-9,245,13,24,Inactive,1996,2007,1996
953,Lorenzen,Wright,1975-11-04,Memphis,USA,6-11,255,14,55,Inactive,1996,2008,1996
956,Erick,Dampier,1975-07-14,Mississippi State,USA,6-11,265,17,25,Inactive,1996,2011,1996
958,Vitaly,Potapenko,1975-03-21,Wright State,Ukraine,6-10,285,12,20,Inactive,1996,2006,1996
959,Steve,Nash,1974-02-07,Santa Clara,Canada,6-3,178,19,10,Inactive,1996,2013,1996
960,Tony,Delk,1974-01-28,Kentucky,USA,6-2,189,10,0,Inactive,1996,2005,1996
961,John,Wallace,1974-02-09,Syracuse,USA,6-9,225,8,22,Inactive,1996,2003,1996
962,Walter,McCarty,1974-02-01,Kentucky,USA,6-10,245,10,0,Inactive,1996,2005,1996
965,Derek,Fisher,1974-08-09,Arkansas-Little Rock,USA,6-1,210,18,6,Inactive,1996,2013,1996
966,Jerome,Williams,1973-05-10,Georgetown,USA,6-9,206,10,31,Inactive,1996,2004,1996
969,Travis,Knight,1974-09-13,Connecticut,USA,7-0,235,8,44,Inactive,1996,2002,1996
977,Kobe,Bryant,1978-08-23,Lower Merion HS (PA),USA,6-6,212,20,24,Inactive,1996,2015,1996
978,Peja,Stojakovic,1977-06-09,PAOK,Serbia,6-10,229,14,16,Inactive,1998,2010,1996
979,Jermaine,O'Neal,1978-10-13,Eau Claire HS (SC),USA,6-11,255,18,7,Inactive,1996,2013,1996
980,Zydrunas,Ilgauskas,1975-06-05,Atletas Kaunas,Lithuania,7-3,260,14,11,Inactive,1997,2010,1996
981,Efthimios,Rentzias,1976-01-11,FC Barcelona,Greece,6-11,250,2,14,Inactive,2002,2002,1996
983,Moochie,Norris,1973-07-27,West Florida,USA,6-1,185,9,25,Inactive,1996,2005,1996
987,Jason,Sasser,1974-01-13,Texas Tech,USA,6-7,225,3,23,Inactive,1996,2002,1996
988,Randy,Livingston,1975-04-02,Louisiana State,USA,6-4,209,11,14,Inactive,1996,2006,1996
990,Malik,Rose,1974-11-23,Drexel,USA,6-7,255,14,9,Inactive,1996,2008,1996
994,Jamie,Feick,1974-07-03,Michigan State,USA,6-8,255,6,14,Inactive,1996,2002,1996
1000,Shandon,Anderson,1973-12-31,Georgia,USA,6-6,215,10,49,Inactive,1996,2005,1996
1023,Emanual,Davis,1968-08-27,Delaware State,USA,6-5,195,7,15,Inactive,1996,2002,0
1024,Horacio,Llamas,1973-07-17,Grand Canyon,USA,6-11,285,3,54,Inactive,1996,2002,0
1032,Darvin,Ham,1973-07-23,Texas Tech,USA,6-7,240,9,8,Inactive,1996,2004,0
1038,Juaquin,Hawkins,1973-07-02,Long Beach State,USA,6-7,205,2,29,Inactive,2002,2002,0
1043,Amal,McCaskill,1973-10-28,Marquette,USA,6-11,235,5,0,Inactive,1996,2003,1996
1051,Dean,Garrett,1966-11-27,Indiana,USA,6-11,250,6,22,Inactive,1996,2001,1988
1052,Ben,Handlogten,1973-11-16,Western Michigan,USA,6-10,240,3,44,Inactive,2003,2004,0
1065,Erick,Strickland,1973-11-25,Nebraska,USA,6-3,218,10,20,Inactive,1996,2004,0
1073,Reggie,Slater,1970-08-27,Wyoming,USA,6-7,255,9,35,Inactive,1994,2002,0
1088,Chucky,Atkins,1974-08-14,South Florida,USA,5-11,185,12,17,Inactive,1999,2009,0
1114,Jaren,Jackson,1967-10-27,Georgetown,USA,6-6,225,12,2,Inactive,1989,2001,0
1434,Dragan,Tarlac,1973-05-09,Olympiacos,Serbia,6-11,270,1,12,Inactive,2000,2000,1995
1442,Zeljko,Rebraca,1972-04-09,Panathinaikos,Serbia,7-0,265,6,11,Inactive,2001,2005,1994
1444,Lawrence,Funderburke,1970-12-15,Ohio State,USA,6-9,230,8,51,Inactive,1997,2004,1994
1477,Bruce,Bowen,1971-06-14,California State-Fullerton,USA,6-7,200,14,12,Inactive,1996,2008,0
1495,Tim,Duncan,1976-04-25,Wake Forest,US Virgin Islands,6-11,250,20,21,Inactive,1997,2015,1997
1496,Keith,Van Horn,1975-10-23,Utah,USA,6-10,245,10,2,Inactive,1997,2005,1997
1497,Chauncey,Billups,1976-09-25,Colorado,USA,6-3,210,17,1,Inactive,1997,2013,1997
1498,Antonio,Daniels,1975-03-19,Bowling Green,USA,6-4,205,14,22,Inactive,1997,2010,1997
1499,Tony,Battie,1976-02-11,Texas Tech,USA,6-11,240,15,4,Inactive,1997,2011,1997
1501,Tim,Thomas,1977-02-26,Villanova,USA,6-10,240,14,7,Inactive,1997,2009,1997
1502,Adonal,Foyle,1975-03-09,Colgate,St. Vincent & Grenadines,6-10,270,13,31,Inactive,1997,2009,1997
1504,Danny,Fortson,1976-03-27,Cincinnati,USA,6-8,260,10,21,Inactive,1997,2006,1997
1505,Tariq,Abdul-Wahad,1974-11-03,San Jose State,France,6-6,235,7,9,Inactive,1997,2003,1997
1507,Derek,Anderson,1974-07-18,Kentucky,USA,6-5,195,12,1,Inactive,1997,2007,1997
1509,Kelvin,Cato,1974-08-26,Iowa State,USA,6-11,275,11,26,Inactive,1997,2006,1997
1513,Scot,Pollard,1975-02-12,Kansas,USA,6-11,278,12,66,Inactive,1997,2007,1997
1515,Anthony,Parker,1975-06-19,Bradley,USA,6-6,210,10,18,Inactive,1997,2011,1997
1517,Bobby,Jackson,1973-03-13,Minnesota,USA,6-1,185,13,24,Inactive,1997,2008,1997
1519,John,Thomas,1975-09-08,Minnesota,USA,6-9,265,6,41,Inactive,1997,2005,1997
1521,Jacque,Vaughn,1975-02-11,Kansas,USA,6-1,190,13,11,Inactive,1997,2008,1997
1531,Marc,Jackson,1975-01-16,Temple,USA,6-10,253,8,44,Inactive,2000,2006,1997
1533,Anthony,Johnson,1974-10-02,College of Charleston,USA,6-3,195,14,8,Inactive,1997,2009,1997
1535,Jason,Lawson,1974-09-02,Villanova,USA,6-11,240,2,55,Inactive,1997,2002,1997
1538,Cedric,Henderson,1975-03-11,Memphis,USA,6-7,225,6,45,Inactive,1997,2002,1997
1542,Predrag,Drobnjak,1975-10-27,Efes Pilsen,Serbia,6-11,270,5,14,Inactive,2001,2004,1997
1548,Mark,Blount,1975-11-30,Pittsburgh,USA,7-0,250,10,15,Inactive,2000,2008,1997
1559,Adrian,Griffin,1974-07-04,Seton Hall,USA,6-5,230,10,44,Inactive,1999,2007,0
1563,Kevin,Ollie,1972-12-27,Connecticut,USA,6-2,195,14,7,Inactive,1997,2009,0
1565,Michael,Stewart,1975-04-25,California,USA,6-10,230,9,44,Inactive,1997,2004,0
1569,Keith,Closs,1976-04-03,Central Connecticut State,USA,7-3,212,4,33,Inactive,1997,2000,0
1572,Nate,Huffman,1975-04-02,Central Michigan,USA,7-1,245,1,7,Inactive,2002,2002,0
1594,Rick,Brunson,1972-06-14,Temple,USA,6-4,190,9,9,Inactive,1997,2005,0
1600,Kornel,David,1971-10-22,Budapest AEH,USA,6-9,230,3,9,Inactive,1998,2000,0
1612,Chris,Garner,1975-02-23,Memphis,USA,5-10,156,3,2,Inactive,1997,2000,0
1630,Mikki,Moore,1975-11-04,Nebraska,USA,7-0,225,14,31,Inactive,1998,2011,0
1683,Larry,Robinson,1968-01-11,Centenary-Louisiana,USA,6-3,180,7,25,Inactive,1990,2001,0
1709,Michael,Olowokandi,1975-04-03,Pacific,Nigeria,7-0,270,10,41,Inactive,1998,2006,1998
1710,Mike,Bibby,1978-05-13,Arizona,USA,6-2,195,15,20,Inactive,1998,2011,1998
1711,Raef,LaFrentz,1976-05-29,Kansas,USA,6-11,240,11,9,Inactive,1998,2008,1998
1714,Robert,Traylor,1977-02-01,Michigan,USA,6-8,284,8,32,Inactive,1998,2004,1998
1717,Dirk,Nowitzki,1978-06-19,DJK Wurzburg,Germany,7-0,245,22,41,Inactive,1998,2018,1998
1718,Paul,Pierce,1977-10-13,Kansas,USA,6-7,235,20,34,Inactive,1998,2016,1998
1719,Bonzi,Wells,1976-09-28,Ball State,USA,6-5,210,11,24,Inactive,1998,2007,1998
1720,Michael,Doleac,1977-06-15,Utah,USA,6-11,262,11,51,Inactive,1998,2007,1998
1721,Keon,Clark,1975-04-16,UNLV,USA,6-11,221,7,13,Inactive,1998,2003,1998
1722,Michael,Dickerson,1975-06-25,Arizona,USA,6-5,190,6,8,Inactive,1998,2002,1998
1723,Matt,Harpring,1976-05-31,Georgia Tech,USA,6-7,230,12,15,Inactive,1998,2008,1998
1725,Rasho,Nesterovic,1976-05-30,Virtus Bologna,Slovenia,7-0,255,13,12,Inactive,1998,2009,1998
1727,Pat,Garrity,1976-08-23,Notre Dame,USA,6-9,238,11,8,Inactive,1998,2007,1998
1731,Tyronn,Lue,1977-05-03,Nebraska,USA,6-0,175,12,10,Inactive,1998,2008,1998
1732,Felipe,Lopez,1974-12-19,St. John's (NY),Dominican Republic,6-5,195,5,13,Inactive,1998,2002,1998
1733,Al,Harrington,1980-02-17,St. Patrick HS (NJ),USA,6-9,245,16,7,Inactive,1998,2013,1998
1740,Rashard,Lewis,1979-08-08,Elsik HS (TX),USA,6-10,235,16,9,Inactive,1998,2013,1998
1743,Bruno,Sundov,1980-02-10,Split,Croatia,7-2,260,8,14,Inactive,1998,2004,1998
1745,Casey,Shaw,1975-07-20,Toledo,USA,6-11,255,2,53,Inactive,1998,2002,1998
1747,Rafer,Alston,1976-07-24,Fresno State,USA,6-2,175,11,11,Inactive,1999,2009,1998
1749,Cuttino,Mobley,1975-09-01,Rhode Island,USA,6-4,215,12,32,Inactive,1998,2008,1998
1750,Miles,Simon,1975-11-21,Arizona,USA,6-3,202,2,32,Inactive,1998,2002,1998
1753,Toby,Bailey,1975-11-19,UCLA,USA,6-6,213,3,11,Inactive,1998,2002,1998
1761,Greg,Buckner,1976-09-16,Clemson,USA,6-4,210,11,7,Inactive,1999,2008,1998
1765,Torraye,Braggs,1976-05-15,Xavier,USA,6-8,245,3,32,Inactive,2003,2004,1998
1766,Maceo,Baston,1976-05-29,Michigan,USA,6-10,230,5,9,Inactive,2002,2008,1998
1800,Damon,Jones,1976-08-25,Houston,USA,6-3,195,12,19,Inactive,1998,2008,0
1801,Jonathan,Kerner,1974-06-06,East Carolina,USA,6-11,245,2,44,Inactive,1998,2002,0
1802,Brad,Miller,1976-04-12,Purdue,USA,7-0,261,15,52,Inactive,1998,2011,0
1838,Tyrone,Nesby,1976-01-31,UNLV,USA,6-6,245,4,8,Inactive,1998,2001,0
1863,Earl,Boykins,1976-06-02,Eastern Michigan,USA,5-5,133,14,6,Inactive,1998,2011,0
1864,Steve,Goodrich,1976-03-18,Princeton,USA,6-10,220,3,30,Inactive,2000,2002,0
1883,Steve,Francis,1977-02-21,Maryland,USA,6-3,210,10,3,Inactive,1999,2007,1999
1884,Baron,Davis,1979-04-13,UCLA,USA,6-3,212,14,85,Inactive,1999,2011,1999
1886,Jonathan,Bender,1981-01-30,Picayune HS (MS),USA,7-0,230,9,9,Inactive,1999,2009,1999
1887,Wally,Szczerbiak,1977-03-05,Miami (Ohio),USA,6-7,240,11,10,Inactive,1999,2008,1999
1889,Andre,Miller,1976-03-19,Utah,USA,6-3,200,18,24,Inactive,1999,2015,1999
1890,Shawn,Marion,1978-05-07,UNLV,USA,6-7,228,16,31,Inactive,1999,2014,1999
1891,Jason,Terry,1977-09-15,Arizona,USA,6-2,185,19,3,Inactive,1999,2017,1999
1894,Corey,Maggette,1979-11-12,Duke,USA,6-6,225,15,50,Inactive,1999,2012,1999
1895,William,Avery,1979-08-08,Duke,USA,6-2,180,4,30,Inactive,1999,2002,1999
1897,Metta,World Peace,1979-11-13,St. John's (NY),USA,6-7,260,18,37,Inactive,1999,2016,1999
1899,James,Posey,1977-01-13,Xavier,USA,6-8,217,13,41,Inactive,1999,2010,1999
1902,Jeff,Foster,1977-01-16,Southwest Texas State,USA,6-11,250,13,10,Inactive,1999,2011,1999
1904,Devean,George,1977-08-29,Augsburg,USA,6-8,235,12,19,Inactive,1999,2009,1999
1906,Tim,James,1976-12-25,Miami,USA,6-7,214,4,25,Inactive,1999,2002,1999
1908,Jumaine,Jones,1979-02-10,Georgia,USA,6-8,230,9,20,Inactive,1999,2006,1999
1910,Leon,Smith,1980-11-02,Martin Luther King HS (IL),USA,6-10,235,3,35,Inactive,2001,2003,1999
1914,Chris,Herren,1975-09-27,Fresno State,USA,6-2,190,2,12,Inactive,1999,2000,1999
1915,Evan,Eschmeyer,1975-05-30,Northwestern,USA,6-11,250,5,0,Inactive,1999,2003,1999
1916,Calvin,Booth,1976-05-07,Penn State,USA,6-11,230,11,52,Inactive,1999,2008,1999
1921,Gordan,Giricek,1977-06-20,CSKA Moscow,Croatia,6-6,220,7,2,Inactive,2002,2007,1999
1928,Todd,MacCulloch,1976-01-27,Washington,Canada,7-0,280,5,11,Inactive,1999,2003,1999
1938,Manu,Ginobili,1977-07-28,Virtus Bologna,Argentina,6-6,205,16,20,Inactive,2002,2017,1999
1942,Harold,Jamison,1976-11-20,Clemson,USA,6-9,269,3,40,Inactive,1999,2002,0
1952,Raja,Bell,1976-09-19,Florida International,US Virgin Islands,6-5,210,13,19,Inactive,2000,2011,0
1956,Ira,Newble,1975-01-20,Miami (Ohio),USA,6-7,220,9,14,Inactive,2000,2007,0
1960,Milt,Palacio,1978-02-07,Colorado State,Belize,6-4,210,7,3,Inactive,1999,2005,0
1967,Derek,Hood,1976-12-22,Arkansas,USA,6-8,222,2,55,Inactive,1999,2002,0
1975,Jamel,Thomas,1976-07-19,Providence,USA,6-6,219,2,5,Inactive,1999,2000,0
1983,Jermaine,Jackson,1976-06-07,Detroit,USA,6-5,204,6,5,Inactive,1999,2005,0
2031,Stromile,Swift,1979-11-21,Louisiana State,USA,6-10,220,10,4,Inactive,2000,2008,2000
